rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  MANCHESTER,1309.269000,764.951000,812.854000,522.872000,636.121000,1125.265000,1448.967000,726.239000,457.407000,3764.954000,3536.011000,-6.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  MANSTON (KENT INT),0.000000,0.000000,0.000000,0.000000,0.000000,4.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  NEWCASTLE,7884.628000,8483.146000,10901.012000,9758.026000,9061.530000,8532.332000,7928.666000,6512.460000,4738.355000,4632.692000,4893.665000,6.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  NEWQUAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.339000,0.000000,0.000000,0.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  PENZANCE HELIPORT,132.000000,132.000000,140.000000,130.000000,130.000000,122.000000,67.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  PRESTWICK,8.660000,0.004000,0.214000,0.012000,0.022000,0.001000,0.139000,0.000000,0.002000,0.000000,0.000000,0.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  SCATSTA,1.278000,0.866000,1.224000,0.846000,1.043000,0.913000,14.175000,0.014000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  SOUTHAMPTON,0.185000,0.071000,0.025000,0.020000,0.000000,0.372000,0.027000,0.002000,0.067000,9.578000,40.650000,310.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  STORNOWAY,2.211000,0.712000,2.181000,2.585000,0.091000,0.090000,0.097000,0.000000,0.006000,0.586000,0.229000,-100.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  SUMBURGH,3.100000,4.263000,0.054000,0.193000,0.156000,1.400000,1.288000,0.067000,1.259000,0.139000,0.101000,0.000000
29/01/2018 16:07:43,2006 - 2016,Other UK Airports,  TIREE,34.281000,32.337000,33.444000,31.027000,31.431000,30.778000,26.928000,32.454000,33.008000,36.139000,37.242000,3.000000
29/01/2018 16:07:43,2006 - 2016,Non UK Reporting Airports,  ALDERNEY,153.756000,199.238000,228.096000,263.496000,285.175000,327.028000,195.999000,88.984000,82.127000,82.342000,72.946000,-11.000000
29/01/2018 16:07:43,2006 - 2016,Non UK Reporting Airports,  GUERNSEY,2717.516000,2799.384000,2924.261000,2906.456000,3233.782000,3460.032000,2920.112000,2646.483000,2744.185000,2790.904000,2948.357000,6.000000
29/01/2018 16:07:43,2006 - 2016,Non UK Reporting Airports,  ISLE OF MAN,2296.432000,2278.741000,2251.351000,2295.303000,2556.976000,2711.215000,2656.223000,2510.632000,2521.440000,2490.414000,2532.166000,2.000000
29/01/2018 16:07:43,2006 - 2016,Non UK Reporting Airports,  JERSEY,1328.424000,1864.595000,1843.037000,1746.387000,1943.539000,2334.952000,2259.652000,1564.997000,1728.249000,1745.951000,1593.397000,-9.000000

