rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax,pax_term_shd_uk,pax_tran_shd_uk,pax_term_shd_fe,pax_tran_shd_fe,pax_term_shd_fn,pax_tran_shd_fn,pax_term_cht_uk,pax_tran_cht_uk,pax_term_cht_fe,pax_tran_cht_fe,pax_term_cht_fn,pax_tran_cht_fn
26/09/2018 13:09,2016,1,1,London Area Airports,GATWICK,43119417,28703957,1471,7341398,278,3912962,1359,2596345,659,549874,442,10141,531
26/09/2018 13:09,2016,1,1,London Area Airports,HEATHROW,75711130,40090805,0,11790080,654,23663216,38613,121490,0,3310,0,2962,0
26/09/2018 13:09,2016,1,1,London Area Airports,LONDON CITY,4538813,2414005,0,1711409,78,412095,0,170,0,1056,0,0,0
26/09/2018 13:09,2016,1,1,London Area Airports,LUTON,14645340,6450977,1229,7529313,1096,209571,0,426361,950,20966,51,4815,11
26/09/2018 13:09,2016,1,1,London Area Airports,SOUTHEND,874524,783237,56,90428,82,143,0,403,0,37,0,138,0
26/09/2018 13:09,2016,1,1,London Area Airports,STANSTED,24318349,3075307,791,20472177,701,331839,0,404453,68,26389,116,6508,0
26/09/2018 13:09,2016,1,3,Other UK Airports,ABERDEEN,2945895,1539441,13,719443,0,94522,0,514247,0,78096,0,133,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BARRA,12820,12808,12,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2662954,2085401,0,570324,0,0,0,340,0,6879,0,10,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BELFAST INTERNATIONAL,5147546,4203654,0,529287,0,79042,0,297660,143,37107,4,649,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BENBECULA,32467,32439,28,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BIGGIN HILL,627,0,0,0,0,0,0,406,0,221,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BIRMINGHAM,11618193,4465904,3053,4364668,2390,1528745,226,1182657,0,66109,212,4175,54
26/09/2018 13:09,2016,1,3,Other UK Airports,BLACKPOOL,36269,12659,0,15766,0,0,0,7844,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BOURNEMOUTH,667981,41337,1406,433446,356,533,0,185325,0,5488,0,90,0
26/09/2018 13:09,2016,1,3,Other UK Airports,BRISTOL,7610780,4705516,1083,2253145,253,0,0,598566,4995,40353,302,6567,0
26/09/2018 13:09,2016,1,3,Other UK Airports,CAMBRIDGE,591,0,0,591,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,CAMPBELTOWN,8573,8472,101,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,CARDIFF WALES,1346968,429731,2609,382889,175,0,0,485402,180,42309,246,3427,0
26/09/2018 13:09,2016,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),290671,0,0,290579,0,0,0,0,0,92,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,DONCASTER SHEFFIELD,1255893,221464,5,602432,150,26,0,395869,8,28470,152,7317,0
26/09/2018 13:09,2016,1,3,Other UK Airports,DUNDEE,37647,36047,15,0,0,0,0,1334,0,249,0,2,0
26/09/2018 13:09,2016,1,3,Other UK Airports,DURHAM TEES VALLEY,132249,23795,882,103822,0,0,0,1039,0,2711,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4652039,1658782,1634,2400411,490,141,0,559843,321,30417,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,EDINBURGH,12347629,7080945,302,4140569,193,879865,104,210663,0,34068,0,920,0
26/09/2018 13:09,2016,1,3,Other UK Airports,EXETER,846280,614918,148,156,0,0,0,207051,0,23915,92,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,GLASGOW,9343213,5596970,644,2078581,223,795238,453,805293,958,62527,195,1506,625
26/09/2018 13:09,2016,1,3,Other UK Airports,GLOUCESTERSHIRE,12365,7,0,12321,36,0,0,0,0,1,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,HUMBERSIDE,201650,46370,198,118315,101,0,0,18229,32,18365,40,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,INVERNESS,783016,744241,772,34324,0,1300,0,279,0,791,0,1309,0
26/09/2018 13:09,2016,1,3,Other UK Airports,ISLAY,28339,27973,366,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),95068,95068,0,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,KIRKWALL,163029,152044,9937,0,0,0,0,672,365,11,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,LANDS END (ST JUST),64804,64292,512,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,LEEDS BRADFORD,3611343,2172830,589,1312123,0,273,0,106214,0,19244,70,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,LERWICK (TINGWALL),4438,4438,0,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),4778401,2479062,779,2269234,827,0,155,14930,78,12411,80,845,0
26/09/2018 13:09,2016,1,3,Other UK Airports,LYDD,509,390,0,0,0,0,0,18,0,101,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,MANCHESTER,25624930,11903101,3636,7212243,3,3649180,32063,2578242,699,231797,565,12140,1261
26/09/2018 13:09,2016,1,3,Other UK Airports,NEWCASTLE,4806556,3401982,2175,1039983,283,256986,0,100190,484,4418,0,55,0
26/09/2018 13:09,2016,1,3,Other UK Airports,NEWQUAY,371525,306210,1253,62947,0,0,0,68,0,1047,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,NORWICH,505778,147925,0,142662,0,0,0,133450,0,81741,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,OXFORD (KIDLINGTON),383,128,0,246,0,0,0,9,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,PRESTWICK,673232,0,0,669598,314,0,0,631,545,1279,1,153,711
26/09/2018 13:09,2016,1,3,Other UK Airports,SCATSTA,162100,0,0,0,0,0,0,162100,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,SHOREHAM,165,0,0,0,0,0,0,165,0,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,SOUTHAMPTON,1947052,1858553,114,75575,0,2590,0,2153,0,8067,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,STORNOWAY,126520,124154,2182,0,0,0,0,0,0,184,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,SUMBURGH,250407,167946,225,0,0,85,0,81019,1132,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,TIREE,11622,11206,400,0,0,0,0,4,12,0,0,0,0
26/09/2018 13:09,2016,1,3,Other UK Airports,WICK JOHN O GROATS,20158,19790,7,0,0,0,0,178,130,53,0,0,0
26/09/2018 13:09,2016,2,4,Non UK Reporting Airports,ALDERNEY,57595,57595,0,0,0,0,0,0,0,0,0,0,0
26/09/2018 13:09,2016,2,4,Non UK Reporting Airports,GUERNSEY,874118,832515,34045,6190,356,0,0,869,0,55,0,88,0
26/09/2018 13:09,2016,2,4,Non UK Reporting Airports,ISLE OF MAN,791651,676198,40,107779,850,0,0,3718,0,3018,0,48,0
26/09/2018 13:09,2016,2,4,Non UK Reporting Airports,JERSEY,1614705,1527577,22423,55016,144,1063,0,839,52,7481,110,0,0

