rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
29/01/2018 16:10:29,2016,Other UK Airports,  MANCHESTER,2100.343000,4484.661000,333.777000,2079.386000,93695.920000,2615.307000,2523.449000,136.553000,64.573000,601.781000,0.000000,139.929000
29/01/2018 16:10:29,2016,Other UK Airports,  NEWCASTLE,14.349000,0.000000,0.090000,560.137000,3727.900000,0.000000,5.302000,9.831000,3.472000,0.000000,5.261000,248.081000
29/01/2018 16:10:29,2016,Other UK Airports,  NEWQUAY,0.477000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.554000,0.000000,0.000000,0.000000
29/01/2018 16:10:29,2016,Other UK Airports,  NORWICH,2.333000,0.000000,1.811000,0.000000,0.000000,0.000000,378.700000,17.502000,7.005000,0.000000,0.000000,0.000000
29/01/2018 16:10:29,2016,Other UK Airports,  OXFORD (KIDLINGTON),0.000000,5.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:10:29,2016,Other UK Airports,  PRESTWICK,121.438000,2602.549000,0.000000,62.526000,351.851000,5930.624000,25.323000,1712.531000,0.000000,12.610000,0.000000,2.460000
29/01/2018 16:10:29,2016,Other UK Airports,  SCATSTA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.639000,0.014000,0.000000,0.000000,368.578000,0.997000
29/01/2018 16:10:29,2016,Other UK Airports,  SOUTHAMPTON,49.576000,0.000000,0.000000,12.408000,0.000000,0.000000,0.000000,0.000000,110.687000,0.000000,0.000000,0.000000
29/01/2018 16:10:29,2016,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.450000,0.292000,0.000000,0.000000
29/01/2018 16:10:29,2016,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,55.695000,0.150000,230.365000,0.000000,19.943000,0.308000
29/01/2018 16:10:29,2016,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.315000,0.054000,0.036000,0.000000
29/01/2018 16:10:29,2016,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.502000,0.923000,0.000000,0.340000
29/01/2018 16:10:29,2016,Non UK Reporting Airports,  GUERNSEY,2.135000,0.188000,0.000000,90.050000,0.000000,0.000000,0.000000,0.000000,279.358000,1.259000,0.024000,1491.600000
29/01/2018 16:10:29,2016,Non UK Reporting Airports,  ISLE OF MAN,2.044000,0.000000,1.243000,0.000000,0.000000,0.000000,0.000000,0.000000,156.302000,0.000000,0.000000,102.071000
29/01/2018 16:10:29,2016,Non UK Reporting Airports,  JERSEY,0.000000,5.184000,0.000000,3.696000,0.000000,0.000000,0.000000,0.000000,269.735000,955.203000,24.276000,636.883000

