rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
1/29/2018 4:37:02 PM,2016,Other UK Airports,LIVERPOOL (JOHN LENNON),269.717000,41.022000,91.304000,2.410000,124.411000,0.000000,0.000000,0.000000,0.000000,1.327000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,MANCHESTER,109630.182000,3553.987000,7383.267000,4198.178000,2731.621000,49029.369000,37516.861000,1905.895000,951.165000,1068.921000,865.750000,151.792000,272.976000
1/29/2018 4:37:02 PM,2016,Other UK Airports,NEWCASTLE,4574.423000,4.283000,1.607000,7.649000,4.439000,1627.730000,2100.013000,5.261000,5.392000,6.236000,0.000000,311.313000,500.500000
1/29/2018 4:37:02 PM,2016,Other UK Airports,NEWQUAY,2.031000,0.240000,1.314000,0.463000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,NORWICH,407.351000,3.292000,4.090000,0.326000,1.630000,0.000000,0.000000,176.738000,217.260000,0.654000,2.443000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,OXFORD (KIDLINGTON),5.680000,0.000000,0.000000,0.680000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,PRESTWICK,10821.912000,0.000000,0.000000,6409.380000,2609.692000,0.000000,0.000000,0.000000,0.000000,149.732000,77.016000,593.961000,976.183000
1/29/2018 4:37:02 PM,2016,Other UK Airports,SCATSTA,456.228000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,207.068000,249.160000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,SOUTHAMPTON,172.671000,20.360000,139.888000,0.000000,0.015000,0.000000,0.000000,0.000000,0.000000,6.204000,6.204000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,STORNOWAY,93.742000,80.445000,13.297000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,SUMBURGH,306.467000,220.097000,10.274000,0.000000,0.000000,0.000000,0.000000,29.449000,46.647000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Other UK Airports,TIREE,8.405000,7.725000,0.644000,0.000000,0.000000,0.000000,0.000000,0.036000,0.000000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Non UK Reporting Airports,ALDERNEY,94.765000,62.957000,31.468000,0.000000,0.000000,0.000000,0.000000,0.206000,0.134000,0.000000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Non UK Reporting Airports,GUERNSEY,1864.614000,182.391000,100.549000,0.000000,0.000000,0.000000,0.000000,747.199000,48.980000,664.918000,120.577000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Non UK Reporting Airports,ISLE OF MAN,261.660000,98.162000,55.893000,2.426000,1.865000,0.000000,0.000000,88.668000,0.000000,14.646000,0.000000,0.000000,0.000000
1/29/2018 4:37:02 PM,2016,Non UK Reporting Airports,JERSEY,1894.977000,470.890000,52.180000,554.193000,152.859000,0.000000,0.000000,138.027000,1.222000,391.851000,133.755000,0.000000,0.000000

