rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,INVERNESS,651.788000,568.027000,526.076000,451.738000,144.241000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,ISLAY,245.066000,271.600000,275.012000,228.745000,213.336000,209.109000,167.768000,206.526000,218.308000,232.894000,231.179000,-1.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,ISLES OF SCILLY (ST.MARYS),163.500000,173.700000,180.200000,143.100000,139.800000,114.700000,89.500000,67.200000,78.400000,58.900000,75.500000,28.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,ISLES OF SCILLY (TRESCO),350.400000,37.100000,38.000000,29.100000,30.000000,23.600000,18.400000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,KIRKWALL,101.903000,108.083000,105.564000,88.586000,83.918000,58.206000,33.223000,37.895000,35.652000,38.094000,34.645000,-9.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,LANDS END (ST JUST),84.500000,21.200000,17.800000,19.400000,21.800000,11.600000,16.200000,60.900000,56.600000,68.600000,70.900000,3.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,LEEDS BRADFORD,101.147000,109.077000,334.219000,359.294000,234.622000,193.723000,282.400000,323.878000,67.577000,8.318000,22.225000,167.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,LIVERPOOL (JOHN LENNON),5723.901000,3709.024000,3739.891000,264.301000,265.326000,168.047000,129.938000,278.126000,236.343000,197.326000,269.717000,37.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,MANCHESTER,148957.395000,165365.944000,141780.692000,102543.314000,115921.983000,107415.311000,96821.819000,96373.207000,93465.982000,100020.656000,109630.182000,10.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,MANSTON (KENT INT),20841.038000,28370.597000,25673.281000,30037.960000,28102.605000,27494.785000,31077.901000,29306.213000,12696.223000,0.000000,0.000000,0.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,NEWCASTLE,306.263000,785.008000,1937.801000,2596.624000,3650.175000,3059.194000,2956.228000,3700.912000,4450.404000,3717.123000,4574.423000,23.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,NEWQUAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.934000,0.000000,2.031000,0.000000
29/01/2018 16:38:20,2006 - 2016,Other UK Airports,NORWICH,126.075000,187.941000,239.276000,338.818000,265.535000,330.324000,212.943000,160.274000,247.080000,345.662000,407.351000,18.000000
