rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,INVERNESS,40826,39139,40538,30290,28155,30755,31764,28947,28495,29873,30450,1.931510059
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,ISLAY,2558,2650,2625,2603,2775,3003,2969,2637,2610,2515,2540,0.994035785
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),12924,14138,12951,12945,12097,12016,11425,12238,10965,12210,13164,7.813267813
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),2614,2752,2578,2126,2072,1856,1560,0,0,0,0,
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,KIRKWALL,14719,15574,15982,15590,14535,14131,13980,14403,14420,14199,14539,2.394534826
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,LANDS END (ST JUST),12598,14718,11962,8396,10412,8910,7460,8586,7088,10425,11189,7.328537170
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,LEEDS BRADFORD,66921,65249,61699,53817,52284,51527,47311,45627,42989,42912,44304,3.243847875
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,LERWICK (TINGWALL),2131,2050,2085,2157,1859,1926,1924,2084,2169,2801,2426,-13.388075687
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),91263,86668,84890,79298,68164,69055,60270,55839,52249,55905,62441,11.691261962
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,LYDD,20236,24725,21488,21785,20527,18259,17397,16347,19808,20095,22060,9.778551879
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,MANCHESTER,229729,222703,204610,172515,159114,167469,168883,169497,170639,173165,192293,11.046112090
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,MANSTON (KENT INT),16687,21521,19269,18902,16260,18695,14688,17504,6494,0,0,
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,NEWCASTLE,81655,79200,72904,69254,66677,64521,61006,59962,59114,55950,56263,0.559428061
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,NEWQUAY,11087,11178,12238,12835,11680,7130,4859,5118,9261,22848,30417,33.127626050
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,NORWICH,52735,54086,47792,42003,36864,38929,39846,40702,37391,36045,37190,3.176584825
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,0,0,36316,38382,40648,40322,37553,42456,44020,40507,-7.980463426
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,PENZANCE HELIPORT,6694,6899,6406,5218,5064,4762,3573,0,0,0,0,
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,PLYMOUTH,25472,18377,19651,19763,18495,12193,0,0,0,0,0,
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,PRESTWICK,48189,47910,42708,34230,33087,28131,25670,24305,25643,22765,25714,12.954096200
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,SCATSTA,12335,12961,12951,14364,13841,14475,15587,14668,13778,12221,7894,-35.406267900
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,SHOREHAM,69142,70420,60551,60775,60218,60673,54764,55500,54344,48731,51394,5.464693932
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,SOUTHAMPTON,55786,54183,50689,45502,45350,45700,43284,40501,40374,39379,42824,8.748317631
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,STORNOWAY,12363,12716,13072,11627,10952,11255,11564,11049,10909,10952,10600,-3.214024836
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,SUMBURGH,12185,13984,14758,12159,11118,12228,14045,16771,18171,17171,21129,23.050492109
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,SWANSEA,24524,26663,33037,30948,35899,27051,36393,20731,14100,8983,11230,25.013915173
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,TIREE,858,868,1071,1316,1210,1111,1224,1247,1295,1478,1937,31.055480379
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,WICK JOHN O GROATS,6721,6327,7221,6231,4754,4734,5474,7787,5711,4726,4427,-6.326703343
29/01/2018 15:44,2006 - 2016,2,4,Non UK Reporting Airports,ALDERNEY,14976,14579,13033,12985,12833,12297,10362,10460,10754,10149,10120,-0.285742438
29/01/2018 15:44,2006 - 2016,2,4,Non UK Reporting Airports,GUERNSEY,54400,59747,59494,57634,55557,55987,50859,49403,43189,39955,39717,-0.595670129
29/01/2018 15:44,2006 - 2016,2,4,Non UK Reporting Airports,ISLE OF MAN,49356,45515,41294,40539,36652,34224,32697,29857,27645,29370,28331,-3.537623425
29/01/2018 15:44,2006 - 2016,2,4,Non UK Reporting Airports,JERSEY,69508,72409,75743,64120,61739,61486,57144,54878,49912,46822,47170,0.743240357
29/01/2018 15:44,2006 - 2016,2,5,Foreign Airports,BARROW-IN-FURNESS,1060,0,0,0,0,0,0,0,0,0,0,
29/01/2018 15:44,2006 - 2016,2,5,Foreign Airports,CRANFIELD,0,0,0,0,0,5642,0,0,0,0,0,

