rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
08/03/2018 10:29,2017,2016,Other UK Airports,PRESTWICK,4931,4261,670,4631,3979,652,6.478082,7.087208,2.760736
08/03/2018 10:29,2017,2016,Other UK Airports,SCATSTA,7780,7780,0,7465,7457,8,4.219692,4.331501,-.000000
08/03/2018 10:29,2017,2016,Other UK Airports,SHOREHAM,0,0,0,143,143,0,-.000000,-.000000,
08/03/2018 10:29,2017,2016,Other UK Airports,SOUTHAMPTON,39285,39262,23,37461,37455,6,4.869064,4.824456,283.333333
08/03/2018 10:29,2017,2016,Other UK Airports,STORNOWAY,6919,6917,2,6279,6278,1,10.192706,10.178401,.000000
08/03/2018 10:29,2017,2016,Other UK Airports,SUMBURGH,11622,11621,1,11931,11922,9,-2.589892,-2.524744,-88.888889
08/03/2018 10:29,2017,2016,Other UK Airports,TIREE,1764,1759,5,1714,1711,3,2.917153,2.805377,66.666667
08/03/2018 10:29,2017,2016,Other UK Airports,WICK JOHN O GROATS,1750,1750,0,1775,1775,0,-1.408451,-1.408451,
08/03/2018 10:29,2017,2016,Non UK Reporting Airports,ALDERNEY,5742,5709,33,5584,5567,17,2.829513,2.550745,94.117647
08/03/2018 10:29,2017,2016,Non UK Reporting Airports,GUERNSEY,22628,20865,1763,23573,21797,1776,-4.008824,-4.275818,-0.731982
08/03/2018 10:29,2017,2016,Non UK Reporting Airports,ISLE OF MAN,14930,14399,531,19007,18482,525,-21.449992,-22.091765,1.142857
08/03/2018 10:29,2017,2016,Non UK Reporting Airports,JERSEY,23843,22690,1153,25476,24244,1232,-6.409954,-6.409833,-6.412338

