rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
25/03/2022 10:42:35,2021,Other UK Airports,  NEWCASTLE,0.772000,0.000000,0.000000,719.688000,762.656000,0.000000,0.000000,0.000000,2.589000,0.000000,0.000000,33.428000
25/03/2022 10:42:35,2021,Other UK Airports,  NORWICH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.576000,0.000000,0.000000,0.000000,0.000000,0.000000
25/03/2022 10:42:35,2021,Other UK Airports,  PRESTWICK,0.202000,4113.868000,0.000000,306.198000,0.000000,8886.888000,0.000000,2061.508000,0.000000,0.000000,0.000000,839.942000
25/03/2022 10:42:35,2021,Other UK Airports,  SOUTHAMPTON,0.063000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.795000,0.000000,0.000000,0.000000
25/03/2022 10:42:35,2021,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,138.653000,0.002000,0.000000,0.000000
25/03/2022 10:42:35,2021,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64.110000,0.106000,100.883000,0.000000,23.628000,0.000000
25/03/2022 10:42:35,2021,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.455000,0.173000,0.000000,0.000000
25/03/2022 10:42:35,2021,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.309000,1.555000,0.000000,0.000000
25/03/2022 10:42:35,2021,Non UK Reporting Airports,  GUERNSEY,0.035000,0.000000,0.117000,0.000000,0.000000,0.000000,0.040000,0.000000,57.140000,1.498000,0.063000,752.658000
25/03/2022 10:42:35,2021,Non UK Reporting Airports,  ISLE OF MAN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.268000,0.000000,0.000000,46.461000
25/03/2022 10:42:35,2021,Non UK Reporting Airports,  JERSEY,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.190000,574.061000,0.000000,351.463000

