rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
3/25/2022 10:43:57 AM,2021,Other UK Airports,MANCHESTER,52564.395000,1365.299000,1498.767000,418.405000,279.679000,22795.020000,19693.769000,659.481000,491.827000,180.131000,66.863000,4754.654000,360.500000
3/25/2022 10:43:57 AM,2021,Other UK Airports,NEWCASTLE,1519.133000,2.499000,0.090000,0.747000,0.025000,494.018000,268.638000,0.000000,0.000000,4.037000,0.000000,332.337000,416.742000
3/25/2022 10:43:57 AM,2021,Other UK Airports,NORWICH,119.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.630000,59.946000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Other UK Airports,PRESTWICK,16208.606000,0.000000,0.000000,8881.511000,4119.447000,0.000000,0.000000,799.312000,0.000000,36.648000,0.816000,1697.716000,673.156000
3/25/2022 10:43:57 AM,2021,Other UK Airports,SOUTHAMPTON,22.858000,14.110000,8.745000,0.000000,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Other UK Airports,STORNOWAY,138.655000,130.145000,8.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Other UK Airports,SUMBURGH,188.727000,94.208000,6.675000,0.000000,0.000000,0.000000,0.000000,40.543000,47.301000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Other UK Airports,TIREE,5.628000,4.835000,0.793000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Non UK Reporting Airports,ALDERNEY,45.864000,37.577000,8.287000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Non UK Reporting Airports,GUERNSEY,811.551000,13.371000,45.302000,0.000000,0.000000,0.000000,0.000000,617.680000,135.198000,0.000000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Non UK Reporting Airports,ISLE OF MAN,59.729000,12.883000,0.385000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.461000,0.000000,0.000000,0.000000
3/25/2022 10:43:57 AM,2021,Non UK Reporting Airports,JERSEY,954.914000,457.585000,145.866000,0.000000,0.000000,0.000000,0.000000,344.878000,6.585000,0.000000,0.000000,0.000000,0.000000

