rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,PRESTWICK,609380,608415,697,609112,859775,-29.15448761,6,262,268,268,0
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,SCATSTA,114434,0,0,0,0,,0,114434,114434,128771,-11.13371754
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,SHOREHAM,237,0,237,237,219,8.2191782,0,0,0,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,SOUTHAMPTON,632366,613128,9769,622897,655258,-4.93866539,9421,48,9469,14459,-34.51137543
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,STORNOWAY,2,0,0,0,0,,0,2,2,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,SUMBURGH,31223,0,4358,4358,3887,12.11731434,978,25887,26865,16069,67.18526459
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,WICK JOHN O GROATS,1069,0,120,120,0,,0,949,949,2447,-61.21781921
17/03/2016 11:40,2015,2014,2,4,Non UK Reporting Airports,GUERNSEY,9513,8165,588,8753,8120,7.795566559,425,335,760,48,1483.333374
17/03/2016 11:40,2015,2014,2,4,Non UK Reporting Airports,ISLE OF MAN,43268,37400,3797,41197,38629,6.647855282,2034,37,2071,2325,-10.92473125
17/03/2016 11:40,2015,2014,2,4,Non UK Reporting Airports,JERSEY,66649,40025,19418,59443,68787,-13.58396244,6353,853,7206,14378,-49.88176346
