rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,LANDS END (ST JUST),15411,12598,14718,11962,8396,10412,8910,7460,8586,7088,10425,47.07957111
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,LEEDS BRADFORD,69193,66921,65249,61699,53817,52284,51527,47311,45627,42989,42912,-0.179115588
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,LERWICK (TINGWALL),2416,2131,2050,2085,2157,1859,1926,1924,2084,2169,2801,29.13785154
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),92970,91263,86668,84890,79298,68164,69055,60270,55839,52249,55905,6.997263106
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,LYDD,22044,20236,24725,21488,21785,20527,18259,17397,16347,19808,20095,1.448909532
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,MANCHESTER,234835,229729,222703,204610,172515,159114,167469,168883,169497,170639,173165,1.480318098
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,MANSTON (KENT INT),21358,16687,21521,19269,18902,16260,18695,14688,17504,6494,,
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,NEWCASTLE,77882,81655,79200,72904,69254,66677,64521,61006,59962,59114,55950,-5.352369997
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,NEWQUAY,9279,11087,11178,12238,12835,11680,7130,4859,5118,9261,22848,146.7120181
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,NORWICH,47321,52735,54086,47792,42003,36864,38929,39846,40702,37391,36045,-3.599796743
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,OXFORD (KIDLINGTON),,,,,36316,38382,40648,40322,37553,42456,44020,3.683813831
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,PENZANCE HELIPORT,6865,6694,6899,6406,5218,5064,4762,3573,,,,
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,PLYMOUTH,27906,25472,18377,19651,19763,18495,12193,,,,,
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,PRESTWICK,54996,48189,47910,42708,34230,33087,28131,25670,24305,25643,22765,-11.2233358
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,SCATSTA,11257,12335,12961,12951,14364,13841,14475,15587,14668,13778,12221,-11.30062418
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,SHOREHAM,72095,69142,70420,60551,60775,60218,60673,54764,55500,54344,48731,-10.32864714
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,SOUTHAMPTON,58045,55786,54183,50689,45502,45350,45700,43284,40501,40374,39379,-2.464457324
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,STORNOWAY,10665,12363,12716,13072,11627,10952,11255,11564,11049,10909,10952,0.394169951
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,SUMBURGH,10553,12185,13984,14758,12159,11118,12228,14045,16771,18171,17171,-5.503274448
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,SWANSEA,26019,24524,26663,33037,30948,35899,27051,36393,20731,14100,8983,-36.29078014
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,TIREE,858,858,868,1071,1316,1210,1111,1224,1247,1295,1478,14.13127413
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,WICK JOHN O GROATS,6931,6721,6327,7221,6231,4754,4734,5474,7787,5711,4726,-17.24741726
17/03/2016 11:30,2005 - 2015,2,4,Non UK Reporting Airports,ALDERNEY,15250,14976,14579,13033,12985,12833,12297,10362,10460,10754,10149,-5.625813651
17/03/2016 11:30,2005 - 2015,2,4,Non UK Reporting Airports,GUERNSEY,54918,54400,59747,59494,57634,55557,55987,50859,49403,43189,39955,-7.488017782
17/03/2016 11:30,2005 - 2015,2,4,Non UK Reporting Airports,ISLE OF MAN,46272,49356,45515,41294,40539,36652,34224,32697,29857,27645,29370,6.23982637
17/03/2016 11:30,2005 - 2015,2,4,Non UK Reporting Airports,JERSEY,69909,69508,72409,75743,64120,61739,61486,57144,54878,49912,46822,-6.190895977
17/03/2016 11:30,2005 - 2015,2,N,Miscellaneous,BARROW-IN-FURNESS,2212,1060,,,,,,,,,,
17/03/2016 11:30,2005 - 2015,2,N,Miscellaneous,CRANFIELD,,,,,,,5642,,,,,
